cod_e;id_p;cod_a;grupo;n1;n2;n3
20258517004;12001;22101;1;4.3;2.5;3.0
20258517001;12002;22103;2;5.0;2.5;3.5
20258517001;12002;4210;1;5.0;4.0;4.5
20258517002;12002;22101;3;5.0;2.5;3.0
20258517003;12003;22501;2;5.0;2.5;1.0
20258518006;12004;22502;4;3.5;2.5;2.3
20258519001;12004;22503;2;3.0;2.0;2.0
20258519002;12004;22504;1;3.5;5.0;5.0
20258519003;12004;22504;1;2.0;3.0;2.0
20258518006;12005;22503;1;1.8;3.2;2.0
20258519003;12005;22502;1;4.0;1.0;4.5
20258519001;12005;22503;1;4.0;3.0;2.0
20258519005;12003;22501;2;4.0;3.0;1.0
