cod_e;id_p;cod_a;grupo;n1;n2;n3
20249518018;11001;320;1;4.3;2.5;3.0
20259518004;11001;25941;2;5.0;2.5;3.0
20259517004;11002;26130;3;4.0;4.0;4.5
20249517003;11002;16;4;3.0;2.5;3.0
20249518018;11001;25942;1;4.3;2.5;3.0
20249518018;11002;7;2;3.5;2.5;2.3
20259518004;11002;26130;3;3.0;2.0;2.0
20259577002;11002;7;2;3.5;5.0;5.0
20249517003;11003;25948;1;5.0;3.2;2.0
20259518004;11004;25949;2;4.0;1.0;2.0
20259577003;11005;320;1;4.0;3.0;2.0
20259577004;11003;327;1;4.0;3.0;1.0
20249517003;11004;25949;2;2.0;3.0;5.0
